Date,HomeTeam,AwayTeam,FTHG,FTAG
11.09.03:30,Steelers,Titans,13,10
13.09.20:00,Buccaneers,Cowboys,21,34
13.09.20:00,Saints,Lions,45,27
13.09.20:00,Colts,Jaguars,14,12
13.09.20:00,Texans,Jets,7,24
13.09.20:00,Browns,Vikings,20,34
13.09.20:00,Bengals,Broncos,7,12
13.09.20:00,Panthers,Eagles,10,38
13.09.20:00,Ravens,Chiefs,38,24
13.09.20:00,Falcons,Dolphins,19,7
13.09.23:15,Seahawks,Rams,28,0
13.09.23:15,Giants,Redskins,23,17
13.09.23:15,Cardinals,Niners,16,20
14.09.03:20,Packers,Bears,21,15
15.09.02:00,Patriots,Bills,25,24
15.09.05:15,Raiders,Chargers,20,24
20.09.20:00,Redskins,Rams,9,7
20.09.20:00,Titans,Texans,31,34
20.09.20:00,Eagles,Saints,22,48
20.09.20:00,Jets,Patriots,16,9
20.09.20:00,Chiefs,Raiders,10,13
20.09.20:00,Jaguars,Cardinals,17,31
20.09.20:00,Packers,Bengals,24,31
20.09.20:00,Lions,Vikings,13,27
20.09.20:00,Falcons,Panthers,28,20
20.09.23:05,Niners,Seahawks,23,10
20.09.23:05,Bills,Buccaneers,33,20
20.09.23:15,Chargers,Ravens,26,31
20.09.23:15,Broncos,Browns,27,6
20.09.23:15,Bears,Steelers,17,14
21.09.03:20,Cowboys,Giants,31,33
22.09.03:30,Dolphins,Colts,23,27
27.09.20:00,Buccaneers,Giants,0,24
27.09.20:00,Eagles,Chiefs,34,14
27.09.20:00,Jets,Titans,24,17
27.09.20:00,Patriots,Falcons,26,10
27.09.20:00,Vikings,Niners,27,24
27.09.20:00,Rams,Packers,17,36
27.09.20:00,Texans,Jaguars,24,31
27.09.20:00,Lions,Redskins,19,14
27.09.20:00,Ravens,Browns,34,3
27.09.23:05,Seahawks,Bears,19,25
27.09.23:05,Bills,Saints,7,27
27.09.23:15,Raiders,Broncos,3,23
27.09.23:15,Chargers,Dolphins,23,13
27.09.23:15,Bengals,Steelers,23,20
28.09.03:20,Cardinals,Colts,10,31
29.09.03:30,Cowboys,Panthers,21,7
04.10.20:00,Redskins,Buccaneers,16,13
04.10.20:00,Patriots,Ravens,27,21
04.10.20:00,Chiefs,Giants,16,27
04.10.20:00,Jaguars,Titans,37,17
04.10.20:00,Colts,Seahawks,34,17
04.10.20:00,Texans,Raiders,29,6
04.10.20:00,Browns,Bengals,20,23
04.10.20:00,Bears,Lions,48,24
04.10.23:05,Saints,Jets,24,10
04.10.23:05,Dolphins,Bills,38,10
04.10.23:15,Niners,Rams,35,0
04.10.23:15,Broncos,Cowboys,17,10
05.10.03:20,Steelers,Chargers,38,28
06.10.03:30,Vikings,Packers,30,23
11.10.20:00,Eagles,Buccaneers,33,14
11.10.20:00,Giants,Raiders,44,7
11.10.20:00,Rams,Vikings,10,38
11.10.20:00,Chiefs,Cowboys,20,26
11.10.20:00,Lions,Steelers,20,28
11.10.20:00,Panthers,Redskins,20,17
11.10.20:00,Bills,Browns,3,6
11.10.20:00,Ravens,Bengals,14,17
11.10.23:05,Niners,Falcons,10,45
11.10.23:15,Seahawks,Jaguars,41,0
11.10.23:15,Broncos,Patriots,20,17
11.10.23:15,Cardinals,Texans,28,21
12.10.03:20,Titans,Colts,9,31
13.10.03:30,Dolphins,Jets,31,27
18.10.20:00,Redskins,Chiefs,6,14
18.10.20:00,Buccaneers,Panthers,21,28
18.10.20:00,Steelers,Browns,27,14
18.10.20:00,Saints,Giants,48,27
18.10.20:00,Vikings,Ravens,33,31
18.10.20:00,Jaguars,Rams,23,20
18.10.20:00,Packers,Lions,26,0
18.10.20:00,Bengals,Texans,17,28
18.10.23:05,Seahawks,Cardinals,3,27
18.10.23:05,Raiders,Eagles,13,9
18.10.23:15,Jets,Bills,13,16
18.10.23:15,Patriots,Titans,59,0
19.10.03:20,Falcons,Bears,21,14
20.10.03:30,Chargers,Broncos,23,34
25.10.19:00,Buccaneers,Patriots,7,35
25.10.19:00,Steelers,Vikings,27,17
25.10.19:00,Rams,Colts,6,42
25.10.19:00,Chiefs,Chargers,7,37
25.10.19:00,Texans,Niners,24,21
25.10.19:00,Browns,Packers,3,31
25.10.22:05,Raiders,Jets,0,38
25.10.22:05,Panthers,Bills,9,20
25.10.22:15,Dolphins,Saints,34,46
25.10.22:15,Cowboys,Falcons,37,21
25.10.22:15,Bengals,Bears,45,10
26.10.02:20,Giants,Cardinals,17,24
27.10.02:30,Redskins,Eagles,17,27
01.11.20:00,Eagles,Giants,40,17
01.11.20:00,Jets,Dolphins,25,30
01.11.20:00,Colts,Niners,18,14
01.11.20:00,Lions,Rams,10,17
01.11.20:00,Cowboys,Seahawks,38,17
01.11.20:00,Bears,Browns,30,6
01.11.20:00,Bills,Texans,10,31
01.11.20:00,Ravens,Broncos,30,7
01.11.23:05,Titans,Jaguars,30,13
01.11.23:05,Chargers,Raiders,24,16
01.11.23:15,Packers,Vikings,26,38
01.11.23:15,Cardinals,Panthers,21,34
03.11.03:30,Saints,Falcons,35,27
08.11.20:00,Buccaneers,Packers,38,28
08.11.20:00,Patriots,Dolphins,27,17
08.11.20:00,Jaguars,Chiefs,24,21
08.11.20:00,Colts,Texans,20,17
08.11.20:00,Bengals,Ravens,17,7
08.11.20:00,Bears,Cardinals,21,41
08.11.20:00,Falcons,Redskins,31,17
08.11.23:05,Seahawks,Lions,32,20
08.11.23:05,Saints,Panthers,30,20
08.11.23:15,Niners,Titans,27,34
08.11.23:15,Giants,Chargers,20,21
09.11.03:20,Eagles,Cowboys,16,20
10.11.03:30,Broncos,Steelers,10,28
13.11.03:20,Niners,Bears,10,6
15.11.20:00,Redskins,Broncos,27,17
15.11.20:00,Titans,Bills,41,17
15.11.20:00,Steelers,Bengals,12,18
15.11.20:00,Jets,Jaguars,22,24
15.11.20:00,Vikings,Lions,27,10
15.11.20:00,Dolphins,Buccaneers,25,23
15.11.20:00,Rams,Saints,23,28
15.11.20:00,Panthers,Falcons,28,19
15.11.23:05,Raiders,Chiefs,10,16
15.11.23:15,Chargers,Eagles,31,23
15.11.23:15,Packers,Cowboys,17,7
15.11.23:15,Cardinals,Seahawks,31,20
16.11.03:20,Colts,Patriots,35,34
17.11.03:30,Browns,Ravens,0,16
20.11.03:20,Panthers,Dolphins,17,24
22.11.20:00,Buccaneers,Saints,7,38
22.11.20:00,Giants,Falcons,34,31
22.11.20:00,Vikings,Seahawks,35,9
22.11.20:00,Chiefs,Steelers,27,24
22.11.20:00,Jaguars,Bills,18,15
22.11.20:00,Packers,Niners,30,24
22.11.20:00,Lions,Browns,38,37
22.11.20:00,Cowboys,Redskins,7,6
22.11.20:00,Ravens,Colts,15,17
22.11.23:05,Rams,Cardinals,13,21
22.11.23:15,Raiders,Bengals,20,17
22.11.23:15,Patriots,Jets,31,14
22.11.23:15,Broncos,Chargers,3,32
23.11.03:20,Bears,Eagles,20,24
24.11.03:30,Texans,Titans,17,20
26.11.19:30,Lions,Packers,12,34
26.11.23:15,Cowboys,Raiders,24,7
27.11.03:20,Broncos,Giants,26,6
29.11.20:00,Eagles,Redskins,27,24
29.11.20:00,Jets,Panthers,17,6
29.11.20:00,Rams,Seahawks,17,27
29.11.20:00,Texans,Colts,27,35
29.11.20:00,Bengals,Browns,16,7
29.11.20:00,Bills,Dolphins,31,14
29.11.20:00,Falcons,Buccaneers,20,17
29.11.23:05,Niners,Jaguars,20,3
29.11.23:05,Chargers,Chiefs,43,14
29.11.23:15,Titans,Cardinals,20,17
29.11.23:15,Vikings,Bears,36,10
30.11.03:20,Ravens,Steelers,20,17
01.12.03:30,Saints,Patriots,38,17
04.12.03:20,Bills,Jets,13,19
06.12.20:00,Redskins,Saints,30,33
06.12.20:00,Steelers,Raiders,24,27
06.12.20:00,Dolphins,Patriots,22,21
06.12.20:00,Chiefs,Broncos,13,44
06.12.20:00,Jaguars,Texans,23,18
06.12.20:00,Colts,Titans,27,17
06.12.20:00,Bengals,Lions,23,13
06.12.20:00,Bears,Rams,17,9
06.12.20:00,Panthers,Buccaneers,16,6
06.12.20:00,Falcons,Eagles,7,34
06.12.23:05,Browns,Chargers,23,30
06.12.23:15,Seahawks,Niners,20,17
06.12.23:15,Giants,Cowboys,31,24
07.12.03:20,Cardinals,Vikings,30,17
08.12.03:30,Packers,Ravens,27,14
11.12.03:20,Browns,Steelers,13,6
13.12.20:00,Buccaneers,Jets,3,26
13.12.20:00,Patriots,Panthers,20,10
13.12.20:00,Vikings,Bengals,30,10
13.12.20:00,Chiefs,Bills,10,16
13.12.20:00,Jaguars,Dolphins,10,14
13.12.20:00,Colts,Broncos,28,16
13.12.20:00,Texans,Seahawks,34,7
13.12.20:00,Bears,Packers,14,21
13.12.20:00,Ravens,Lions,48,3
13.12.20:00,Falcons,Saints,23,26
13.12.23:05,Titans,Rams,47,7
13.12.23:05,Raiders,Redskins,13,34
13.12.23:15,Cowboys,Chargers,17,20
14.12.03:20,Giants,Eagles,38,45
15.12.03:30,Niners,Cardinals,24,9
18.12.03:20,Jaguars,Colts,31,35
20.12.03:20,Saints,Cowboys,17,24
20.12.20:00,Titans,Dolphins,27,24
20.12.20:00,Jets,Falcons,7,10
20.12.20:00,Rams,Texans,13,16
20.12.20:00,Chiefs,Browns,34,41
20.12.20:00,Lions,Cardinals,24,31
20.12.20:00,Bills,Patriots,10,17
20.12.23:05,Chargers,Bengals,27,24
20.12.23:05,Broncos,Raiders,19,20
20.12.23:15,Seahawks,Buccaneers,7,24
20.12.23:15,Steelers,Packers,37,36
20.12.23:15,Eagles,Niners,27,13
20.12.23:15,Ravens,Bears,31,7
21.12.03:20,Panthers,Vikings,26,7
22.12.03:30,Redskins,Giants,12,45
26.12.02:30,Titans,Chargers,17,42
27.12.20:00,Steelers,Ravens,23,20
27.12.20:00,Giants,Panthers,9,41
27.12.20:00,Saints,Buccaneers,17,20
27.12.20:00,Patriots,Jaguars,35,7
27.12.20:00,Dolphins,Texans,20,27
27.12.20:00,Packers,Seahawks,48,10
27.12.20:00,Browns,Raiders,23,9
27.12.20:00,Bengals,Chiefs,17,10
27.12.20:00,Falcons,Bills,31,3
27.12.23:05,Niners,Lions,20,6
27.12.23:05,Cardinals,Rams,31,10
27.12.23:15,Eagles,Broncos,30,27
27.12.23:15,Colts,Jets,15,29
28.12.03:20,Redskins,Cowboys,0,17
29.12.03:30,Bears,Vikings,36,30
03.01.20:00,Buccaneers,Falcons,10,20
03.01.20:00,Vikings,Giants,44,7
03.01.20:00,Dolphins,Steelers,24,30
03.01.20:00,Rams,Niners,6,28
03.01.20:00,Texans,Patriots,34,27
03.01.20:00,Lions,Bears,23,37
03.01.20:00,Browns,Jaguars,23,17
03.01.20:00,Panthers,Saints,23,10
03.01.20:00,Bills,Colts,30,7
03.01.23:15,Seahawks,Titans,13,17
03.01.23:15,Raiders,Ravens,13,21
03.01.23:15,Chargers,Redskins,23,20
03.01.23:15,Broncos,Chiefs,24,44
03.01.23:15,Cowboys,Eagles,24,0
03.01.23:15,Cardinals,Packers,7,33
04.01.03:20,Jets,Bengals,37,0